Fire Warning,2023-05-29 18:08:55,2023-05-29 18:43:23,00:34:27
Fire Warning,2023-05-29 21:43:33,2023-05-29 22:19:18,00:35:44
Air Quality,2023-05-30 20:37:31,2023-05-30 20:50:56,00:13:25
Fire Warning,2023-05-30 20:38:07,2023-05-30 20:51:33,00:13:25
Fire Alert,2023-05-30 20:39:02,2023-05-30 20:51:51,00:12:49
Air Quality,2023-05-31 20:41:12,2023-05-31 21:16:21,00:35:09
Fire Warning,2023-05-31 20:41:48,2023-05-31 21:15:08,00:33:20
Fire Alert,2023-05-31 20:42:42,2023-05-31 21:19:42,00:36:59
Air Quality,2023-06-01 18:34:46,2023-06-01 18:39:43,00:04:56
Fire Alert,2023-06-01 18:38:14,2023-06-01 18:51:04,00:12:50
