FireName,LAT,LONG,ReportedIgnTime,Fuels,ReportedFinalArea,FireType,FirstWarningTime,WarningSensor,FirstAlertTime,AlertSensor,RoundedIgnTime,Rounded Time 1,Wind Speed 1 (km/h),Wind Direction 1 (deg),Relative Humidity 1,Temperature 1 (øC),Precipitation 1,Rounded Time 2,Wind Speed 2 (km/h),Wind Direction 2 (deg),Relative Humidity 2,Temperature 2 (øC),Precipitation 2,Rounded Time 3,Wind Speed 3 (km/h),Wind Direction 3 (deg),Relative Humidity 3,Temperature 3 (øC),Precipitation 3
VC-01,47.0164918,-71.5456692,2023-05-13 14:00,Grass and Small Brush,75,Prescribed,N/A,N/A,2023-05-13 15:11,VC_13,2023-05-13 14:00,2023-05-13 14:00,16,300,47,10,0,2023-05-13 15:00,13,330,47,10,0,2023-05-13 16:00,17,270,44,9,0
VC-02,47.023233,-71.565858,2023-05-23 12:08,Grass and Small Brush,75,Prescribed,N/A,N/A,2023-05-23 14:35,VC_20,2023-05-23 12:00,2023-05-23 12:00,7,190,26,18,0,2023-05-23 13:00,13,220,22,18,0,2023-05-23 14:00,5,220,22,20,0
VC-03,46.9645824,-71.5822598,2023-05-29 10:55,Grass and Small Brush,6,Prescribed,N/A,N/A,N/A,N/A,2023-05-29 11:00,2023-05-29 11:00,2.5,247.5,40,18,0,2023-05-29 12:00,8.2,202.5,38.8,18,0,2023-05-29 13:00,3.7,112.5,35.2,18.4,0
