"","FireName","TimeStep","id","time","temp","rh","isol","prec","ws","timemst","lat","long","tz_loc","utc","mon","day","hr","yr","minute","julian","percent_cured","date","timestamp","timezone","solrad","sunrise","sunset","sunlight_hours","mcffmc","ffmc","dmc","dc","isi","bui","fwi","dsr","mcgfmc","gfmc","gsi","gfwi","grass_fuel_load","FFMC_FBP92","fueltype","Accel","cc","ID","CFB","CFC","FD","HFI","RAZ","ROS","SFC","TFC","BE","SF","ISI","FFMC","FMC","D0","RSO","CSI","FROS","BROS","HROSt","FROSt","BROSt","FCFB","BCFB","FFI","BFI","FTFC","BTFC","TI","FTI","BTI","LB","LBt","WSV","DH","DB","DF","TROS","TROSt","TCFB","TFI","TTFC","TTI","mgROS","DT","mgHFI","A","deltaA","MW","MWfrp","MWconv","Bflux","zHfluxm","ReportedFinalArea","TimetoFirstWarning","TimetoFirstAlert","site","wd","visibility_km","weather"
"42","WR-12",3,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,0.5,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.3340345220728,1.42565457304255,1.39045170420178,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.46268207842195,21.5921585870751,252.612301015378,30.9903065642798,31.7749060537988,0.178598851940732,0.182042487953583,0,18.7528794537768,0.35,0,25.8837812360493,871.775581362304,2.71779702978518,13.0434724158374,7.2463735643541,760.869224257181,129.347768123721,395.651996613734,10324.5076114987,738.948991218664,375,138,305,"WR",NA,NA,NA
"43","WR-12",4,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,0.666666666666667,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.5879742868,1.43268982112694,1.42160486311814,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.54026369074255,21.5921585870751,367.460503463666,45.0798065131056,45.4313161169392,0.178598851940732,0.179676153947408,0,18.7528794537768,0.35,0,25.8837812360493,1162.3674418164,2.71779702978518,23.1883954059331,10.1449229900957,1065.21691396005,181.086875373209,553.912795259227,14454.3106560982,826.654065238523,375,138,305,"WR",NA,NA,NA
"44","WR-12",5,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,0.833333333333333,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.6683809535202,1.4348675921209,1.43146909871337,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.56482888183097,21.5921585870751,483.817689372886,59.354427534289,59.4953426479053,0.178598851940732,0.178938671392595,0,18.7528794537768,0.35,0,25.8837812360493,1452.95930227051,2.71779702978518,36.2318678217705,13.0434724158374,1369.56460366293,232.825982622697,712.173593904721,18584.1137006977,898.887405803422,375,138,305,"WR",NA,NA,NA
"45","WR-12",6,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.6938406607069,1.43555227700957,1.43459247840463,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57260712457638,21.5921585870751,600.652674930222,73.6876646937677,73.7369646300482,0.178598851940732,0.178706322089355,0,18.7528794537768,0.35,0,25.8837812360493,1743.55116272461,2.71779702978518,52.1738896633495,15.942021841579,1673.9122933658,284.565089872186,870.434392550215,22713.9167452972,961.070737638455,375,138,305,"WR",NA,NA,NA
"46","WR-12",7,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1.16666666666667,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.7019021401399,1.43576858813022,1.43558145525962,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57507000223074,21.5921585870751,717.638949424548,88.0394618779097,88.0509381178453,0.178598851940732,0.178632868006821,0,18.7528794537768,0.35,0,25.8837812360493,2034.14302317871,2.71779702978518,71.0144609306702,18.8405712673207,1978.25998306867,336.304197121674,1028.69519119571,26843.7197898967,1016.10575218063,375,138,305,"WR",NA,NA,NA
"47","WR-12",8,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1.33333333333333,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.704454700944,1.43583703164717,1.43589460169597,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57584983985459,21.5921585870751,834.673127559125,102.397135848301,102.393030388122,0.178598851940732,0.178609621381749,0,18.7528794537768,0.35,0,25.8837812360493,2324.73488363281,2.71779702978518,92.7535816237325,21.7391206930623,2282.60767277154,388.043304371162,1186.9559898412,30973.5228344962,1065.74886506421,375,138,305,"WR",NA,NA,NA
"48","WR-12",9,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1.5,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.7052629355506,1.43585869851866,1.43599375537192,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57609676512044,21.5921585870751,951.722473747592,116.756670625304,116.745689527041,0.178598851940732,0.178602261811799,0,18.7528794537768,0.35,0,25.8837812360493,2615.32674408691,2.71779702978518,117.391251742536,24.6376701188039,2586.95536247441,439.78241162065,1345.21678848669,35103.3258790956,1111.15360496662,375,138,305,"WR",NA,NA,NA
"49","WR-12",10,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1.66666666666667,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.7055188523454,1.43586555855945,1.43602515107155,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.5761749507389,21.5921585870751,1068.77662269964,131.116794602101,131.102222950196,0.178598851940732,0.178599931618263,0,18.7528794537768,0.35,0,25.8837812360493,2905.91860454101,2.71779702978518,144.927471287082,27.5362195445456,2891.30305217729,491.521518870139,1503.47758713219,39233.1289236951,1153.12306604165,375,138,305,"WR",NA,NA,NA
"50","WR-12",11,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,1.83333333333333,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.7055998850125,1.43586773065174,1.43603509210445,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57619970718054,21.5921585870751,1185.83229238324,145.477105141218,145.460150639349,0.178598851940732,0.178599193805031,0,18.7528794537768,0.35,0,25.8837812360493,3196.51046499511,2.71779702978518,175.362240257369,30.4347689702872,3195.65074188016,543.260626119627,1661.73838577768,43362.9319682946,1192.24147038313,375,138,305,"WR",NA,NA,NA
"51","WR-12",12,"Kinsella Research",2024-04-23 11:00:00,16.3,20.4,0.7241,0,9.5,2024-04-23 10:00:00,53,-111.52,"America/Edmonton",-7,4,23,2,2024,0,113,89.87,2024-04-23,2024-04-23 11:00:00,-7,0.652760155746822,5.19073630511342,19.6237960228152,14.4330597177018,12.3429140607194,88.5890493229073,35.1545301363475,100.326000000002,5.64655552115787,37.4780279035572,12.4419702580843,2.35788551880517,7.35551510415767,91.2821030497003,28.7309971720148,27.2373739527787,0.35,88.5890493229073,"O-1a",1,89.87,"Kinsella Research",0,0,"S",1229.09193031256,180,11.7056374315482,0.35,0.35,1,2.20555269273882,5.64655552115787,88.5890493229073,0,0,0,0,1.43586873708406,1.4360396982881,11.7056255429344,1.43586841841113,1.43603823980099,0,0,150.766217393826,150.784168320251,0.35,0.35,0,0,0,4.57621117809286,4.57620754598024,21.5921585870751,1302.88844358635,159.837474752825,159.818572873081,0.178598851940732,0.178598960187407,0,18.7528794537768,0.35,0,25.8837812360493,3487.10232544921,2.71779702978518,208.695558653398,33.3333183960289,3499.99843158303,594.999733369116,1819.99918442318,47492.7350128941,1228.94865276061,375,138,305,"WR",NA,NA,NA
