"","FireName","TimeStep","id","time","temp","rh","prec","wd","ws","visibility_km","weather","fueltype","lat","long","tz_loc","mon","day","hr","yr","minute","julian","percent_cured","date","timestamp","timezone","solrad","sunrise","sunset","sunlight_hours","mcffmc","ffmc","dmc","dc","isi","bui","fwi","dsr","mcgfmc","gfmc","gsi","Accel","cc","ID","CFB","CFC","FD","HFI","RAZ","ROS","SFC","TFC","BE","SF","ISI","FFMC","FMC","D0","RSO","CSI","FROS","BROS","HROSt","FROSt","BROSt","FCFB","BCFB","FFI","BFI","FTFC","BTFC","TI","FTI","BTI","LB","LBt","WSV","DH","DB","DF","TROS","TROSt","TCFB","TFI","TTFC","TTI","mgROS","DT","mgHFI","A","deltaA","MW","MWfrp","MWconv","Bflux","zHfluxm","ReportedFinalArea","TimetoFirstWarning","TimetoFirstAlert"
"1","VC-01",1,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,0.166666666666667,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,115.332695320837,6.02474739803003,11.086741572348,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,407.478380441855,4.06611723112087,2.38268443538134,2.38268443538134,250.181865715041,38.2778254544012,130.094570171821,3374.97532756922,458.502417029787,75,NA,126
"2","VC-01",2,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,0.333333333333333,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,230.665390641675,12.0494947960601,22.173483144696,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,814.95676088371,4.06611723112087,9.53073774152535,7.14805330614402,750.545597145122,114.833476363204,390.283710515463,10124.9259827077,661.274913946119,75,NA,126
"3","VC-01",3,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,0.5,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,345.998085962512,18.0742421940901,33.260224717044,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,1222.43514132556,4.06611723112087,21.444159918432,11.9134221769067,1250.9093285752,191.389127272006,650.472850859105,16874.8766378461,784.028104614064,75,NA,126
"4","VC-01",4,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,0.666666666666667,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,461.33078128335,24.0989895921201,44.3469662893919,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,1629.91352176742,4.06611723112087,38.1229509661014,16.6787910476694,1751.27306000528,267.944778180809,910.661991202748,23624.8272929846,877.08357091279,75,NA,126
"5","VC-01",5,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,0.833333333333333,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,576.663476604187,30.1237369901501,55.4337078617399,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,2037.39190220927,4.06611723112087,59.5671108845335,21.444159918432,2251.63679143537,344.500429089611,1170.85113154639,30374.777948123,953.723460493859,75,NA,126
"6","VC-01",6,"QUEBEC INTL A",2023-05-13 13:00:00,18,22,0,33,13,48.3,"Rain Showers","O-1a",46.9,-71.5,"America/Toronto",5,13,1,2023,0,133,82.51,2023-05-13,2023-05-13 13:00:00,-5,0.761144726155027,4.23985416204407,19.1629788068002,14.9231246447562,12.5503610282365,88.8013663274114,30.0096983710244,67.0049999999996,6.55229368664318,29.9486366684117,12.4011664169805,2.3442158171241,6.11976613775495,88.8013663274114,42.9846678718493,0,82.51,"QUEBEC INTL A",0,0,"S",1210.99330086879,192.883407134578,11.5332695320837,0.35,0.35,1,3.60630874126779,6.55229368664318,88.8013663274114,0,0,0,0,1.1086741572348,0.602474739803003,11.5332695320837,1.1086741572348,0.602474739803003,0,0,116.410786509654,63.2598476793153,0.35,0.35,0,0,0,5.4730888208647,5.4730888208647,31.7548406418221,691.996171925024,36.1484843881802,66.5204494340879,0.147807408755623,0.147807408755623,0,15.5197779193404,0.35,0,38.724926010675,2444.87028265113,4.06611723112087,85.7766396737282,26.2095287891947,2752.00052286544,421.056079998413,1431.04027189003,37124.7286032614,1019.70024695216,75,NA,126
"7","VC-02",1,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,0.166666666666667,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,57.4659728700779,2.15776216783236,6.6193393401401,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,161.978816630909,1.63922702761354,0.45754286591042,0.45754286591042,48.0420009205941,7.35042614085091,24.981840478709,664.064878422975,254.25663615318,75,NA,202
"8","VC-02",2,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,0.333333333333333,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,114.931945740156,4.31552433566472,13.2386786802802,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,323.957633261818,1.63922702761354,1.83017146364168,1.37262859773126,144.126002761782,22.0512784225527,74.9455214361269,1992.19463526893,366.701524239731,75,NA,202
"9","VC-02",3,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,0.5,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,172.397918610234,6.47328650349708,19.8580180204203,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,485.936449892727,1.63922702761354,4.11788579319378,2.2877143295521,240.210004602971,36.7521307042545,124.909202393545,3320.32439211488,434.772732104866,75,NA,202
"10","VC-02",4,"QUEBEC INTL A",2023-05-23 11:00:00,11,51,0,24,15,48.3,NA,"O-1a",46.9,-71.5,"America/Toronto",5,23,0.666666666666667,2023,0,143,75.28,2023-05-23,2023-05-23 11:00:00,-5,0.419102733505497,4.04830997972845,19.3651081997211,15.3167982199926,16.0388481168998,80.4503910008032,17.9503534424337,75.1127032742475,4.63198643251111,22.4737969976109,7.91289360223616,1.05833322727804,14.7339902028384,80.4503910008032,17.3289714347717,0,75.28,"QUEBEC INTL A",0,0,"S",603.392715135818,197.00450923267,5.74659728700779,0.35,0.35,1,1.53909146369689,4.63198643251111,80.4503910008032,0,0,0,0,0.66193393401401,0.215776216783236,5.74659728700779,0.66193393401401,0.215776216783236,0,0,69.503063071471,22.6565027622398,0.35,0.35,0,0,0,4.50375271413781,4.50375271413781,20.8620719555648,229.863891480312,8.63104867132945,26.4773573605604,0.0899947519060276,0.0899947519060276,0,9.4494489501329,0.35,0,15.6116859772718,647.915266523635,1.63922702761354,7.32068585456673,3.20280006137294,336.294006444159,51.4529829859563,174.872883350963,4648.45414896083,486.375447724231,75,NA,202
