id,time,temp,rh,prec,wd,ws,Visibility_km,Weather
QUEBEC INTL A,2023-05-04 00:00,4.7,87,0,6,34,19.3,Drizzle
QUEBEC INTL A,2023-05-04 01:00,4.8,87,0,6,23,24.1,Drizzle
QUEBEC INTL A,2023-05-04 02:00,4.7,88,0,6,28,19.3,Rain
QUEBEC INTL A,2023-05-04 03:00,4.6,89,0.1,7,26,12.9,Rain
QUEBEC INTL A,2023-05-04 04:00,4.7,92,0,7,22,11.3,Rain
QUEBEC INTL A,2023-05-04 05:00,4.7,93,0.5,6,22,8.1,"Rain,Fog"
QUEBEC INTL A,2023-05-04 06:00,5.1,93,0.6,7,24,19.3,Rain
QUEBEC INTL A,2023-05-04 07:00,5.9,89,0.2,6,25,48.3,Cloudy
QUEBEC INTL A,2023-05-04 08:00,6.6,84,0,8,30,48.3,NA
QUEBEC INTL A,2023-05-04 09:00,6.8,77,0,7,31,48.3,NA
QUEBEC INTL A,2023-05-04 10:00,8.3,72,0,6,28,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-04 11:00,9.6,71,0,8,22,48.3,NA
QUEBEC INTL A,2023-05-04 12:00,10.5,67,0,6,28,48.3,NA
QUEBEC INTL A,2023-05-04 13:00,11.1,68,0,9,25,48.3,Mainly Clear
QUEBEC INTL A,2023-05-04 14:00,11.8,67,0,8,26,48.3,NA
QUEBEC INTL A,2023-05-04 15:00,11.4,69,0,8,29,48.3,NA
QUEBEC INTL A,2023-05-04 16:00,10.3,73,0,8,35,48.3,Mainly Clear
QUEBEC INTL A,2023-05-04 17:00,10.1,75,0,8,24,48.3,NA
QUEBEC INTL A,2023-05-04 18:00,8.5,80,0,7,21,48.3,NA
QUEBEC INTL A,2023-05-04 19:00,8.2,80,0,9,17,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-04 20:00,7.1,84,0,7,12,24.1,NA
QUEBEC INTL A,2023-05-04 21:00,6.9,87,0,7,17,24.1,NA
QUEBEC INTL A,2023-05-04 22:00,6.9,87,0,8,22,24.1,Cloudy
QUEBEC INTL A,2023-05-04 23:00,6.6,89,0,7,16,24.1,NA
QUEBEC INTL A,2023-05-05 00:00,6.1,90,0,8,16,24.1,NA
QUEBEC INTL A,2023-05-05 01:00,5.6,92,0,6,17,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-05 02:00,5,93,0,5,12,24.1,NA
QUEBEC INTL A,2023-05-05 03:00,5.7,92,0,4,13,24.1,NA
QUEBEC INTL A,2023-05-05 04:00,4.9,94,0,5,10,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-05 05:00,5.4,94,0,4,8,24.1,NA
QUEBEC INTL A,2023-05-05 06:00,6.2,91,0,5,11,48.3,NA
QUEBEC INTL A,2023-05-05 07:00,7.6,82,0,7,10,56.3,Mostly Cloudy
QUEBEC INTL A,2023-05-05 08:00,9.1,74,0,6,7,48.3,NA
QUEBEC INTL A,2023-05-05 09:00,10.8,65,0,2,4,48.3,NA
QUEBEC INTL A,2023-05-05 10:00,12.5,59,0,12,7,48.3,Mainly Clear
QUEBEC INTL A,2023-05-05 11:00,14.2,54,0,9,9,48.3,NA
QUEBEC INTL A,2023-05-05 12:00,15.7,46,0,16,13,48.3,NA
QUEBEC INTL A,2023-05-05 13:00,15.9,46,0,23,6,48.3,Mainly Clear
QUEBEC INTL A,2023-05-05 14:00,16.9,47,0,21,9,48.3,NA
QUEBEC INTL A,2023-05-05 15:00,18.3,43,0,21,20,48.3,NA
QUEBEC INTL A,2023-05-05 16:00,18.6,40,0,21,22,48.3,Mainly Clear
QUEBEC INTL A,2023-05-05 17:00,18.8,30,0,25,7,48.3,NA
QUEBEC INTL A,2023-05-05 18:00,18.4,37,0,6,12,48.3,NA
QUEBEC INTL A,2023-05-05 19:00,14.1,52,0,5,3,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-05 20:00,12.9,52,0,32,4,24.1,NA
QUEBEC INTL A,2023-05-05 21:00,11.5,50,0,,0,24.1,NA
QUEBEC INTL A,2023-05-05 22:00,9.7,64,0,,0,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-05 23:00,10,57,0,12,3,24.1,NA
QUEBEC INTL A,2023-05-06 00:00,8.3,67,0,36,3,24.1,NA
QUEBEC INTL A,2023-05-06 01:00,8,67,0,,0,24.1,Mainly Clear
QUEBEC INTL A,2023-05-06 02:00,9.6,59,0,29,5,24.1,NA
QUEBEC INTL A,2023-05-06 03:00,9,60,0,21,3,24.1,NA
QUEBEC INTL A,2023-05-06 04:00,9.6,56,0,,0,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 05:00,9,60,0,36,3,48.3,NA
QUEBEC INTL A,2023-05-06 06:00,12.2,53,0,,0,48.3,NA
QUEBEC INTL A,2023-05-06 07:00,14.8,43,0,33,7,48.3,Mainly Clear
QUEBEC INTL A,2023-05-06 08:00,16.1,47,0,21,9,48.3,NA
