id,time,temp,rh,prec,wd,ws
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 17:00:00,19.6,36,0,289,11.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 18:00:00,16.3,39,0,290,5.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 19:00:00,13.5,45,0,242,7.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 20:00:00,10.5,57,0,293,3.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 21:00:00,8.8,67,0,131,3.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 22:00:00,7.5,78,0,283,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-12 23:00:00,6.45,84,0,351,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 00:00:00,5.4,92,0,304,0
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 01:00:00,4.4,95,0,240,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 02:00:00,3.7,98,0,270,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 03:00:00,3.2,99,0,328,1.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 04:00:00,2.4,100,0,176,0
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 05:00:00,2,100,0,263,0
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 06:00:00,6.5,100,0,213,3.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 07:00:00,9.4,100,0,319,0
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 08:00:00,11.8,90,0,307.5,3.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 09:00:00,14,80,0,296,7.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 10:00:00,16.9,69,0,294,8.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 11:00:00,19.4,61,0,303,7.75
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 12:00:00,22.7,53,0,312,6.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 13:00:00,25.8,46,0,297,6.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 14:00:00,26.5,34,0,171,5.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 15:00:00,25.3,27,0,75,5.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 16:00:00,24,22,0,354,5.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 17:00:00,21.6,20,0,267,10.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 18:00:00,17.5,23,0,279,7.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 19:00:00,17.4,28,0,260,2.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 20:00:00,17.3,39,0,224,3.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 21:00:00,15.4,41,0,129,6.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 22:00:00,14.7,43,0,349,4.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-13 23:00:00,13.95,68,0,207,3.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 00:00:00,13.2,72,0,244,5.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 01:00:00,12.5,77,0,237,7.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 02:00:00,12.4,93,0.2,197,2.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 03:00:00,12.3,100,0.2,320,3.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 04:00:00,12.2,100,1,337,3.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 05:00:00,11.8,100,1,206,1.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 06:00:00,12.4,100,0.6,195,1.75
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 07:00:00,15.5,100,0.2,184,1.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 08:00:00,17.1,93,0.1,144.5,2.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 09:00:00,18.4,86,0,105,3.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 10:00:00,20,76,0,104,6.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 11:00:00,21.5,56,0,49,7.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 12:00:00,20.6,47,0,134,7
FLNRO-WMB 394 ROCK CREEK, 2024-09-14 13:00:00,17.6,43,0,129,6.8
