"","ID","TIME","TEMP","RH","PREC","WD","WS","FUELTYPE","LAT","LONG","TZ_LOC","MON","DAY","HR","YR","PERCENT_CURED","MINUTE","DATE","TIMESTAMP","TIMEZONE","SOLRAD","SUNRISE","SUNSET","SUNLIGHT_HOURS"
"19","FLNRO-WMB 394 ROCK CREEK",2024-09-10 18:00:00,17.3,29,0,294,7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,18,2024,100,0,2024-09-10,2024-09-10 18:00:00,-8,0.0429755882150425,5.39503837240184,18.3763733925427,12.9813350201408
"20","FLNRO-WMB 394 ROCK CREEK",2024-09-10 19:00:00,13.9,36,0,240,4,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,19,2024,100,0,2024-09-10,2024-09-10 19:00:00,-8,5.31187850550824e-17,5.39503837240184,18.3763733925427,12.9813350201408
"21","FLNRO-WMB 394 ROCK CREEK",2024-09-10 20:00:00,11.5,48,0,279,3,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,20,2024,100,0,2024-09-10,2024-09-10 20:00:00,-8,5.31187850550824e-17,5.39503837240184,18.3763733925427,12.9813350201408
"22","FLNRO-WMB 394 ROCK CREEK",2024-09-10 21:00:00,10.7,57,0,290,3.4,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,21,2024,100,0,2024-09-10,2024-09-10 21:00:00,-8,5.31187850550824e-17,5.39503837240184,18.3763733925427,12.9813350201408
"23","FLNRO-WMB 394 ROCK CREEK",2024-09-10 22:00:00,10.3,65,0,239,1.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,22,2024,100,0,2024-09-10,2024-09-10 22:00:00,-8,5.31187850550824e-17,5.39503837240184,18.3763733925427,12.9813350201408
"24","FLNRO-WMB 394 ROCK CREEK",2024-09-10 23:00:00,10.5,68,0,218,2.8,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,10,23,2024,100,0,2024-09-10,2024-09-10 23:00:00,-8,5.31187850550824e-17,5.39503837240184,18.3763733925427,12.9813350201408
"25","FLNRO-WMB 394 ROCK CREEK",2024-09-11,10.7,69.5,0,249,2.55,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,0,2024,100,0,2024-09-11,2024-09-11,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"26","FLNRO-WMB 394 ROCK CREEK",2024-09-11 01:00:00,10.8,71,0,280,2.3,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,1,2024,100,0,2024-09-11,2024-09-11 01:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"27","FLNRO-WMB 394 ROCK CREEK",2024-09-11 02:00:00,10.9,73,0,297,5.3,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,2,2024,100,0,2024-09-11,2024-09-11 02:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"28","FLNRO-WMB 394 ROCK CREEK",2024-09-11 03:00:00,10.9,73,0,243.5,3.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,3,2024,100,0,2024-09-11,2024-09-11 03:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"29","FLNRO-WMB 394 ROCK CREEK",2024-09-11 04:00:00,10.4,73,0,190,1.7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,4,2024,100,0,2024-09-11,2024-09-11 04:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"30","FLNRO-WMB 394 ROCK CREEK",2024-09-11 05:00:00,10.8,73,0,154,2.1,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,5,2024,100,0,2024-09-11,2024-09-11 05:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"31","FLNRO-WMB 394 ROCK CREEK",2024-09-11 06:00:00,12.4,90,0,307,4.6,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,6,2024,100,0,2024-09-11,2024-09-11 06:00:00,-8,0.0462497228287695,5.41843991990309,18.3406717198098,12.9222317999067
