Air Quality,2023-05-28 19:01:45,2023-05-28 19:01:45,00:00:00
Air Quality,2023-05-29 15:04:28,2023-05-29 18:07:46,03:03:18
Fire Warning,2023-05-29 18:06:02,2023-05-29 19:34:20,01:28:17
Fire Warning,2023-05-30 21:27:59,2023-05-30 21:28:20,00:00:20
Air Quality,2023-05-31 19:55:40,2023-05-31 20:40:36,00:44:56
Air Quality,2023-05-31 20:33:44,2023-05-31 21:17:04,00:43:19
Fire Alert,2023-05-31 20:35:27,2023-05-31 21:30:09,00:54:41
Fire Warning,2023-05-31 20:37:10,2023-05-31 21:40:50,01:03:40
Air Quality,2023-06-01 10:54:55,2023-06-01 10:54:55,00:00:00
Air Quality,2023-06-02 12:48:39,2023-06-02 13:37:34,00:48:54
Air Quality,2023-06-03 11:13:20,2023-06-03 15:33:15,04:19:54
Fire Warning,2023-06-03 15:36:00,2023-06-03 15:54:32,00:18:31
Air Quality,2023-06-03 15:38:05,2023-06-03 15:54:32,00:16:27
Fire Alert,2023-06-03 15:46:36,2023-06-03 16:04:41,00:18:05
Air Quality,2023-06-03 21:39:30,2023-06-03 21:42:37,00:03:07
Fire Warning,2023-06-03 21:47:10,2023-06-03 21:57:36,00:10:26
